merchant_id,name_en,name_ar,category,in_directory,descriptor_patterns,amount_mean,amount_std,recurrence,aggregator,cities
M0011,Dmm Shop,محل الدمام,shopping,True,"[""DMM SHOP"", ""DMMS*"", ""DMMSHOP"", ""DMM_SHOP"", ""DS"", ""SP*DMMSHOP""]",656.94,394.16,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0012,Zain,زين,telecom,True,"[""SP*ZAIN"", ""ZAIN"", ""ZAIN"", ""ZAIN1"", ""ZAIN2"", ""ZAIN3""]",82.0,24.6,monthly,,"[""JED"", ""NJRAN"", ""TIF""]"
M0013,Tif Club,نادي الطائف,entertainment,True,"[""SP*TIFCLUB"", ""TIF CLUB"", ""TIFCLUB"", ""TIFCLUB1"", ""TIFCLUB2"", ""TIF_CLUB""]",71.02,21.31,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK""]"
M0014,Mak Grill,مشوي مكة,food,True,"[""MAK GRILL"", ""MAKG*"", ""MAKGRILL"", ""MAKGRILL1"", ""MAK_GRILL"", ""SP*MAKGRILL""]",37.18,14.87,none,,"[""DMM"", ""JED"", ""KHOBAR""]"
M0015,Mad Grocery,بقالة المدينة,groceries,True,"[""MAD GROCERY"", ""MADGROCERY"", ""MADGROCERY1"", ""MADGROCERY2"", ""MAD_GROCERY"", ""SP*MADGROCE""]",108.9,54.45,none,,"[""DMM""]"
M0016,STC,إس تي سي,telecom,True,"[""SP*STC"", ""STC"", ""STC"", ""STC PREPAID"", ""STC1"", ""STC2""]",150,60,monthly,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0017,Mad Eatery,مطعم صغير المدينة,food,True,"[""MAD EATERY"", ""MADE*"", ""MADEATERY"", ""MADEATERY1"", ""MAD_EATERY"", ""SP*MADEATER""]",68.16,27.26,none,MRSOOL,"[""DMM"", ""YANBU""]"
M0018,Tabuk Utility Co,مرافق تبوك,bills,True,"[""SP*TABUKUTI"", ""TABUK UTILITY CO"", ""TABUKUTILITYCO"", ""TABUKUTILITYCO1"", ""TABUK_UTILITY_CO"", ""TUC""]",208.75,73.06,monthly,,"[""RYD""]"
M0019,Nana Direct,نعناع,groceries,False,"[""NANA DIRECT"", ""NANA*"", ""NANADIRECT"", ""NANA_DIRECT"", ""ND"", ""SP*NANADIRE""]",136.99,68.5,none,,"[""TABUK""]"
M0020,Hail Diner,مطعم شعبي حائل,food,True,"[""HAIL DINER"", ""HAILDINER"", ""HAILDINER1"", ""HAIL_DINER"", ""HD"", ""SP*HAILDINE""]",59.8,23.92,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0021,Molano,مولانو,food,True,"[""MOLA*"", ""MOLANO"", ""MOLANO1"", ""MOLANO2"", ""MOLANO3"", ""SP*MOLANO""]",67.93,27.17,none,,"[""DMM"", ""MAD"", ""MAK"", ""RYD""]"
M0022,Tabuk Outlet,آوتلت تبوك,shopping,True,"[""SP*TABUKOUT"", ""TABUK OUTLET"", ""TABUKOUTLET"", ""TABUKOUTLET1"", ""TABUKOUTLET2"", ""TABUK_OUTLET""]",402.0,241.2,none,,"[""QASSIM"", ""RYD"", ""TIF""]"
M0023,Abha Parking,موقف سيارات أبها,transport,True,"[""ABHA PARKING"", ""ABHAPARKING"", ""ABHAPARKING1"", ""ABHA_PARKING"", ""AP"", ""SP*ABHAPARK""]",188.2,84.69,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0024,Jarir,جرير,shopping,True,"[""JARI*"", ""JARIR"", ""JARIR"", ""JARIR BOOKSTORE"", ""JARIR1"", ""SP*JARIR""]",441.37,264.82,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0025,Qassim Service Center,مركز خدمة القصيم,government,True,"[""QASSIM SERVICE CENTER"", ""QASSIMSERVICECENTER"", ""QASSIMSERVICECENTER1"", ""QASSIMSERVICECENTER2"", ""QASSIM_SERVICE_CENTER"", ""QSC""]",115.12,69.07,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0026,Ryd Store,محل بقالة الرياض,groceries,True,"[""RYD STORE"", ""RYDSTORE"", ""RYDSTORE1"", ""RYDSTORE2"", ""RYD_STORE"", ""SP*RYDSTORE""]",242.42,121.21,none,,"[""DMM"", ""HAIL""]"
M0027,Yanbu Pharmacy,صيدلية ينبع,health,True,"[""SP*YANBUPHA"", ""YANBU PHARMACY"", ""YANBUPHARMACY"", ""YANBUPHARMACY1"", ""YANBUPHARMACY2"", ""YANBU_PHARMACY""]",196.94,98.47,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0028,Abha Institute,معهد أبها,education,True,"[""ABHA INSTITUTE"", ""ABHAINSTITUTE"", ""ABHAINSTITUTE1"", ""ABHA_INSTITUTE"", ""AI"", ""SP*ABHAINST""]",403.25,201.62,none,,"[""JED"", ""KHOBAR"", ""MAK""]"
M0029,Hail Training Center,مركز تدريب حائل,education,True,"[""HAIL TRAINING CENTER"", ""HAILTRAININGCENTER"", ""HAILTRAININGCENTER1"", ""HAIL_TRAINING_CENTER"", ""HTC"", ""SP*HAILTRAI""]",1907.49,953.75,none,,"[""TIF"", ""YANBU""]"
M0030,Njran Grocery,بقالة نجران,groceries,True,"[""NG"", ""NJRAN GROCERY"", ""NJRANGROCERY"", ""NJRANGROCERY1"", ""NJRAN_GROCERY"", ""SP*NJRANGRO""]",244.88,122.44,none,,"[""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0031,Qassim Charity,جمعية خيرية القصيم,charity,True,"[""QASSIM CHARITY"", ""QASSIMCHARITY"", ""QASSIMCHARITY1"", ""QASSIMCHARITY2"", ""QASSIM_CHARITY"", ""SP*QASSIMCH""]",21.91,13.15,none,,"[""DMM"", ""JED"", ""KHOBAR""]"
M0032,KFC,كنتاكي,food,True,"[""KFC"", ""KFC1"", ""KFC2"", ""KFC3"", ""KFC4"", ""SP*KFC""]",69.68,27.87,none,,"[""RYD""]"
M0033,Yanbu Restaurant,مطعم ينبع,food,True,"[""SP*YANBURES"", ""YANBU RESTAURANT"", ""YANBURESTAURANT"", ""YANBURESTAURANT1"", ""YANBU_RESTAURANT"", ""YR""]",49.48,19.79,none,TOYOU,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0034,Shahid,شاهد,entertainment,True,"[""SHAH*"", ""SHAHID"", ""SHAHID"", ""SHAHID VIP"", ""SHAHID1"", ""SP*SHAHID""]",40,6,monthly,,"[""MAK"", ""QASSIM""]"
M0035,Jed Cafe,مقهى جدة,food,True,"[""JC"", ""JED CAFE"", ""JEDC*"", ""JEDCAFE"", ""JED_CAFE"", ""SP*JEDCAFE""]",21.99,8.8,none,TOYOU,"[""QASSIM"", ""RYD"", ""TABUK""]"
M0036,Dmm Store,متجر الدمام,shopping,True,"[""DMM STORE"", ""DMMSTORE"", ""DMMSTORE1"", ""DMMSTORE2"", ""DMM_STORE"", ""SP*DMMSTORE""]",348.64,209.18,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0037,Centrepoint,سنتربوينت,shopping,True,"[""CENT*"", ""CENTREPOINT"", ""CENTREPOINT1"", ""CENTREPOINT2"", ""CENTREPOINT3"", ""SP*CENTREPO""]",75.63,45.38,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0038,Burger King,برجر كنج,food,True,"[""BK"", ""BURG*"", ""BURGER KING"", ""BURGERKING"", ""BURGER_KING"", ""SP*BURGERKI""]",40.45,16.18,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0039,Tif Shop,محل الطائف,shopping,True,"[""SP*TIFSHOP"", ""TIF SHOP"", ""TIFSHOP"", ""TIFSHOP1"", ""TIFSHOP2"", ""TIF_SHOP""]",311.48,186.89,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0040,Tif Outlet,آوتلت الطائف,shopping,True,"[""SP*TIFOUTLE"", ""TIF OUTLET"", ""TIFO*"", ""TIFOUTLET"", ""TIF_OUTLET"", ""TO""]",95.91,57.55,none,,"[""DMM"", ""MAD"", ""MAK"", ""RYD""]"
M0041,Seera Group,مجموعة سيرا,travel,True,"[""SEER*"", ""SEERA GROUP"", ""SEERAGROUP"", ""SEERA_GROUP"", ""SG"", ""SP*SEERAGRO""]",1066.56,533.28,none,,"[""DMM"", ""JED"", ""MAD"", ""RYD""]"
M0042,Abha Travel Agency,وكالة سفريات أبها,travel,True,"[""ABHA TRAVEL AGENCY"", ""ABHATRAVELAGENCY"", ""ABHATRAVELAGENCY1"", ""ABHA_TRAVEL_AGENCY"", ""ATA"", ""SP*ABHATRAV""]",1401.72,700.86,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0043,Al Romansiah,الرومانسية,food,True,"[""AL ROMANSIAH"", ""ALRO*"", ""ALROMANSIAH"", ""AL_ROMANSIAH"", ""AR"", ""SP*ALROMANS""]",23.03,9.21,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0044,Wingstop,وينج ستوب,food,True,"[""SP*WINGSTOP"", ""WING*"", ""WINGSTOP"", ""WINGSTOP1"", ""WINGSTOP2"", ""WINGSTOP3""]",53.09,21.24,none,,"[""JED"", ""KHOBAR"", ""MAK""]"
M0045,Yanbu Game Zone,صالة ألعاب ينبع,entertainment,True,"[""SP*YANBUGAM"", ""YANBU GAME ZONE"", ""YANBUGAMEZONE"", ""YANBUGAMEZONE1"", ""YANBU_GAME_ZONE"", ""YGZ""]",69.52,20.86,none,,"[""DMM""]"
M0046,Njran Utility Co,مرافق نجران,bills,True,"[""NJRAN UTILITY CO"", ""NJRANUTILITYCO"", ""NJRANUTILITYCO1"", ""NJRAN_UTILITY_CO"", ""NUC"", ""SP*NJRANUTI""]",205.97,72.09,monthly,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0047,Ryd Clinic,عيادة الرياض,health,True,"[""RC"", ""RYD CLINIC"", ""RYDC*"", ""RYDCLINIC"", ""RYD_CLINIC"", ""SP*RYDCLINI""]",446.44,223.22,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""RYD""]"
M0048,Mad Club,نادي المدينة,entertainment,True,"[""MAD CLUB"", ""MADCLUB"", ""MADCLUB1"", ""MADCLUB2"", ""MAD_CLUB"", ""SP*MADCLUB""]",78.68,23.6,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0049,Lulu Hypermarket,لولو هايبرماركت,groceries,True,"[""LH"", ""LULU HYPERMARKET"", ""LULU*"", ""LULUHYPERMARKET"", ""LULU_HYPERMARKET"", ""SP*LULUHYPE""]",273.6,136.8,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0050,Tabuk Grocery,بقالة تبوك,groceries,True,"[""SP*TABUKGRO"", ""TABUK GROCERY"", ""TABUKGROCERY"", ""TABUKGROCERY1"", ""TABUKGROCERY2"", ""TABUK_GROCERY""]",175.47,87.73,none,,"[""QASSIM"", ""TIF""]"
M0051,Hail Taxi Service,تاكسي حائل,transport,True,"[""HAIL TAXI SERVICE"", ""HAILTAXISERVICE"", ""HAILTAXISERVICE1"", ""HAIL_TAXI_SERVICE"", ""HTS"", ""SP*HAILTAXI""]",42.54,19.14,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0052,Baladi,بلدي,government,True,"[""BALA*"", ""BALADI"", ""BALADI1"", ""BALADI2"", ""BALADI3"", ""SP*BALADI""]",304.31,182.59,none,,"[""JED"", ""QASSIM""]"
M0053,Jed Supermarket,سوبر ماركت جدة,groceries,True,"[""JED SUPERMARKET"", ""JEDS*"", ""JEDSUPERMARKET"", ""JEDSUPERMARKET1"", ""JED_SUPERMARKET"", ""SP*JEDSUPER""]",95.53,47.77,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""RYD""]"
M0054,Qassim Store,متجر القصيم,shopping,True,"[""QASSIM STORE"", ""QASSIMSTORE"", ""QASSIMSTORE1"", ""QASSIMSTORE2"", ""QASSIM_STORE"", ""SP*QASSIMST""]",168.48,101.09,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0055,Rwaq,رواق,education,True,"[""RWAQ"", ""RWAQ1"", ""RWAQ2"", ""RWAQ3"", ""RWAQ4"", ""SP*RWAQ""]",846.18,423.09,monthly,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0056,Petromin,بترومين,transport,True,"[""PETR*"", ""PETROMIN"", ""PETROMIN1"", ""PETROMIN2"", ""PETROMIN3"", ""SP*PETROMIN""]",131.28,59.08,none,,"[""JIZAN"", ""TIF""]"
M0057,Qassim Kitchen,مطبخ القصيم,food,True,"[""QASSIM KITCHEN"", ""QASSIMKITCHEN"", ""QASSIMKITCHEN1"", ""QASSIM_KITCHEN"", ""QK"", ""SP*QASSIMKI""]",75.65,30.26,none,,"[""HAIL"", ""TABUK""]"
M0058,Mad Training Center,مركز تدريب المدينة,education,True,"[""MAD TRAINING CENTER"", ""MADT*"", ""MADTRAININGCENTER"", ""MAD_TRAINING_CENTER"", ""MTC"", ""SP*MADTRAIN""]",2122.55,1061.28,none,,"[""MAK"", ""NJRAN""]"
M0059,Jed Diner,مطعم شعبي جدة,food,True,"[""JD"", ""JED DINER"", ""JEDD*"", ""JEDDINER"", ""JED_DINER"", ""SP*JEDDINER""]",88.34,35.34,none,,"[""DMM"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0060,Saudia,السعودية,travel,True,"[""SAUD*"", ""SAUDIA"", ""SAUDIA"", ""SAUDIA AIRLINES"", ""SAUDIA1"", ""SP*SAUDIA""]",1200,500,none,,"[""JED"", ""MAD"", ""RYD""]"
M0061,Khobar Grill,مشوي الخبر,food,True,"[""KG"", ""KHOBAR GRILL"", ""KHOBARGRILL"", ""KHOBARGRILL1"", ""KHOBAR_GRILL"", ""SP*KHOBARGR""]",61.36,24.54,none,,"[""TIF""]"
M0062,Abha Fuel Station,محطة وقود أبها,transport,True,"[""ABHA FUEL STATION"", ""ABHAFUELSTATION"", ""ABHAFUELSTATION1"", ""ABHA_FUEL_STATION"", ""AFS"", ""SP*ABHAFUEL""]",72.4,32.58,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0063,Tif Service Center,مركز خدمة الطائف,government,True,"[""SP*TIFSERVI"", ""TIF SERVICE CENTER"", ""TIFSERVICECENTER"", ""TIFSERVICECENTER1"", ""TIF_SERVICE_CENTER"", ""TSC""]",141.62,84.97,none,,"[""NJRAN"", ""QASSIM""]"
M0064,Abha Taxi Service,تاكسي أبها,transport,True,"[""ABHA TAXI SERVICE"", ""ABHATAXISERVICE"", ""ABHATAXISERVICE1"", ""ABHA_TAXI_SERVICE"", ""ATS"", ""SP*ABHATAXI""]",141.55,63.7,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0065,Mak Government Office,مكتب حكومي مكة,government,True,"[""MAK GOVERNMENT OFFICE"", ""MAKGOVERNMENTOFFICE"", ""MAKGOVERNMENTOFFICE1"", ""MAK_GOVERNMENT_OFFICE"", ""MGO"", ""SP*MAKGOVER""]",202.41,121.45,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0066,Hail Utility Co,مرافق حائل,bills,True,"[""HAIL UTILITY CO"", ""HAILUTILITYCO"", ""HAILUTILITYCO1"", ""HAIL_UTILITY_CO"", ""HUC"", ""SP*HAILUTIL""]",165.37,57.88,monthly,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0067,Njran Medical Center,مركز طبي نجران,health,True,"[""NJRAN MEDICAL CENTER"", ""NJRANMEDICALCENTER"", ""NJRANMEDICALCENTER1"", ""NJRAN_MEDICAL_CENTER"", ""NMC"", ""SP*NJRANMED""]",267.53,133.76,none,,"[""KHOBAR""]"
M0068,Jizan Gas Station,محطة بنزين جازان,transport,True,"[""JGS"", ""JIZAN GAS STATION"", ""JIZANGASSTATION"", ""JIZANGASSTATION1"", ""JIZAN_GAS_STATION"", ""SP*JIZANGAS""]",83.08,37.39,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0069,Tabuk Medical Center,مركز طبي تبوك,health,True,"[""SP*TABUKMED"", ""TABUK MEDICAL CENTER"", ""TABUKMEDICALCENTER"", ""TABUKMEDICALCENTER1"", ""TABUK_MEDICAL_CENTER"", ""TMC""]",325.89,162.94,none,,"[""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0070,Mak Services,خدمات مكة,bills,True,"[""MAK SERVICES"", ""MAKSERVICES"", ""MAKSERVICES1"", ""MAKSERVICES2"", ""MAK_SERVICES"", ""SP*MAKSERVI""]",371.39,129.99,monthly,,"[""DMM"", ""MAD"", ""RYD""]"
M0071,Virgin Megastore,فيرجن ميجاستور,shopping,True,"[""SP*VIRGINME"", ""VIRGIN MEGASTORE"", ""VIRGINMEGASTORE"", ""VIRGINMEGASTORE1"", ""VIRGIN_MEGASTORE"", ""VM""]",549.98,329.99,none,,"[""DMM"", ""KHOBAR"", ""MAK""]"
M0072,Al Dawaa,الدواء,health,True,"[""AL DAWAA"", ""AL DAWAA"", ""ALDAWAA"", ""AL_DAWAA"", ""DAWAA"", ""SP*ALDAWAA""]",166.15,83.08,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0073,Al Baik,البيك,food,True,"[""AL BAIK"", ""AL BAIK"", ""ALBAIK"", ""ALBAIK"", ""BAIK"", ""البيك""]",45,18,none,,"[""TABUK""]"
M0074,Tabuk Charity,جمعية خيرية تبوك,charity,True,"[""SP*TABUKCHA"", ""TABUK CHARITY"", ""TABUKCHARITY"", ""TABUKCHARITY1"", ""TABUKCHARITY2"", ""TABUK_CHARITY""]",140.76,84.46,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0075,Yanbu Club,نادي ينبع,entertainment,True,"[""SP*YANBUCLU"", ""YANBU CLUB"", ""YANBUCLUB"", ""YANBUCLUB1"", ""YANBUCLUB2"", ""YANBU_CLUB""]",44.39,13.32,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0076,Yanbu Mobile Shop,محل جوالات ينبع,telecom,True,"[""SP*YANBUMOB"", ""YANBU MOBILE SHOP"", ""YANBUMOBILESHOP"", ""YANBUMOBILESHOP1"", ""YANBU_MOBILE_SHOP"", ""YMS""]",124.5,37.35,monthly,,"[""TABUK""]"
M0077,Half Million,نص مليون,food,False,"[""HALF MILLION"", ""HALF MILLION"", ""HALFMILLION"", ""HALFMILLION"", ""HALF_MILLION"", ""SP*HALFMILL""]",43.49,17.4,none,,"[""MAD"", ""TABUK""]"
M0078,Hail Medical Center,مركز طبي حائل,health,True,"[""HAIL MEDICAL CENTER"", ""HAILMEDICALCENTER"", ""HAILMEDICALCENTER1"", ""HAIL_MEDICAL_CENTER"", ""HMC"", ""SP*HAILMEDI""]",445.55,222.78,none,,"[""ABHA"", ""QASSIM""]"
M0079,Hail Supermarket,سوبر ماركت حائل,groceries,True,"[""HAIL SUPERMARKET"", ""HAILSUPERMARKET"", ""HAILSUPERMARKET1"", ""HAILSUPERMARKET2"", ""HAIL_SUPERMARKET"", ""SP*HAILSUPE""]",223.45,111.72,none,,"[""JED""]"
M0080,Tawakkalna,توكلنا,government,True,"[""SP*TAWAKKAL"", ""TAWA*"", ""TAWAKKALNA"", ""TAWAKKALNA1"", ""TAWAKKALNA2"", ""TAWAKKALNA3""]",147.86,88.72,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0081,Njran Shop,محل نجران,shopping,True,"[""NJRAN SHOP"", ""NJRANSHOP"", ""NJRANSHOP1"", ""NJRANSHOP2"", ""NJRAN_SHOP"", ""SP*NJRANSHO""]",104.26,62.56,none,,"[""ABHA"", ""HAIL""]"
M0082,Mad Restaurant,مطعم المدينة,food,True,"[""MAD RESTAURANT"", ""MADR*"", ""MADRESTAURANT"", ""MAD_RESTAURANT"", ""MR"", ""SP*MADRESTA""]",46.57,18.63,none,JAHEZ,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0083,Booking.com,بوكينج,travel,True,"[""BOOK*"", ""BOOKING.COM"", ""BOOKINGCOM"", ""BOOKINGCOM1"", ""BOOKINGCOM2"", ""SP*BOOKINGC""]",2026.52,1013.26,none,,"[""ABHA"", ""NJRAN""]"
M0084,Adidas,اديداس,shopping,True,"[""ADID*"", ""ADIDAS"", ""ADIDAS1"", ""ADIDAS2"", ""ADIDAS3"", ""SP*ADIDAS""]",626.7,376.02,none,,"[""DMM""]"
M0085,Dmm Tours,رحلات الدمام,travel,True,"[""DMM TOURS"", ""DMMT*"", ""DMMTOURS"", ""DMM_TOURS"", ""DT"", ""SP*DMMTOURS""]",860.8,430.4,none,,"[""JIZAN""]"
M0086,Tabuk Club,نادي تبوك,entertainment,True,"[""SP*TABUKCLU"", ""TABUK CLUB"", ""TABUKCLUB"", ""TABUKCLUB1"", ""TABUKCLUB2"", ""TABUK_CLUB""]",35.63,10.69,none,,"[""JED"", ""JIZAN"", ""YANBU""]"
M0087,Jizan Gas Station,محطة بنزين جازان,transport,True,"[""JGS"", ""JIZAN GAS STATION"", ""JIZANGASSTATION"", ""JIZANGASSTATION1"", ""JIZAN_GAS_STATION"", ""SP*JIZANGAS""]",48.15,21.67,none,,"[""KHOBAR"", ""MAD"", ""RYD""]"
M0088,Ryd Eatery,مطعم صغير الرياض,food,False,"[""RE"", ""RYD EATERY"", ""RYDE*"", ""RYDEATERY"", ""RYD_EATERY"", ""SP*RYDEATER""]",34.02,13.61,none,JAHEZ,"[""JIZAN"", ""MAK""]"
M0089,Yanbu Supermarket,سوبر ماركت ينبع,groceries,True,"[""SP*YANBUSUP"", ""YANBU SUPERMARKET"", ""YANBUSUPERMARKET"", ""YANBUSUPERMARKET1"", ""YANBU_SUPERMARKET"", ""YS""]",265.77,132.88,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0090,Mad Boutique,بوتيك المدينة,shopping,True,"[""MAD BOUTIQUE"", ""MADBOUTIQUE"", ""MADBOUTIQUE1"", ""MADBOUTIQUE2"", ""MAD_BOUTIQUE"", ""SP*MADBOUTI""]",498.03,298.82,none,,"[""DMM"", ""JED"", ""RYD""]"
M0091,Dmm Training Center,مركز تدريب الدمام,education,True,"[""DMM TRAINING CENTER"", ""DMMTRAININGCENTER"", ""DMMTRAININGCENTER1"", ""DMM_TRAINING_CENTER"", ""DTC"", ""SP*DMMTRAIN""]",2411.82,1205.91,none,,"[""TIF""]"
M0092,Mak Fuel Station,محطة وقود مكة,transport,True,"[""MAK FUEL STATION"", ""MAKF*"", ""MAKFUELSTATION"", ""MAK_FUEL_STATION"", ""MFS"", ""SP*MAKFUELS""]",99.45,44.75,none,,"[""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0093,Jizan Fuel Station,محطة وقود جازان,transport,True,"[""JIZAN FUEL STATION"", ""JIZANFUELSTATION"", ""JIZANFUELSTATION1"", ""JIZANFUELSTATION2"", ""JIZAN_FUEL_STATION"", ""SP*JIZANFUE""]",82.18,36.98,none,,"[""DMM"", ""JED"", ""MAD""]"
M0094,Jizan Supermarket,سوبر ماركت جازان,groceries,False,"[""JIZAN SUPERMARKET"", ""JIZANSUPERMARKET"", ""JIZANSUPERMARKET1"", ""JIZANSUPERMARKET2"", ""JIZAN_SUPERMARKET"", ""SP*JIZANSUP""]",97.92,48.96,none,,"[""QASSIM"", ""YANBU""]"
M0095,Ryd Diner,مطعم شعبي الرياض,food,True,"[""RD"", ""RYD DINER"", ""RYDD*"", ""RYDDINER"", ""RYD_DINER"", ""SP*RYDDINER""]",67.89,27.16,none,,"[""DMM"", ""JED"", ""MAK"", ""RYD""]"
M0096,Ryd Shop,محل الرياض,shopping,True,"[""RYD SHOP"", ""RYDSHOP"", ""RYDSHOP1"", ""RYDSHOP2"", ""RYD_SHOP"", ""SP*RYDSHOP""]",493.37,296.02,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
